證券代號,投標開始日,證券名稱,最低投標價格(元),最高投(得)標數量(張),營收成長率,本期淨利成長率,每股盈餘成長率,ROE,ROE成長率,ROA,ROA成長率,每股淨值,每股淨值成長率,負債比,負債比成長率,每股盈餘,近一月營收,近一月營收年增率,近一月營收月增率,營收增長規律性_R2,營收風險波動率_cv,近五月成長次數比率,外資平均增減,投信平均增減,自營商平均增減,融資張數增減,融券張數增減,融資金額增減,道瓊工業_10日漲幅(%),標普500_10日漲幅(%),那斯達克_10日漲幅(%),費城半導體_10日漲幅(%),大盤_10日漲幅(%),大盤_平均成交量,櫃買_10日漲幅(%),櫃買_平均成交量,前一日平均成交價,前十日內平均成交價,前十日內漲幅,前一日成交金額,前十日內平均成交金額,前一日最高成交價,前一日最低成交價,前一日成交筆數,前一日成交股數,前十日內平均成交筆數,前十日內平均成交股數,預估獲利率,最低得標加價率,加權平均加價率
6026,2016-01-07,福邦證,7.38,1000.0,-1.795,-3.661,-3.448,-0.068,-3.833,-0.033,-4.3,10.401,-0.067,0.521,-0.105,-0.71,31724.0,-0.661,-0.709,0.0,1.838,0.5,-899546606.1666666,-186308838.25,-166101976.41666666,-4103.167,-1123.0,-28022000.0,0.119,0.355,-0.406,0.392,-3.912,1525180.0,-4.155,308260.0,10.09,10.314,-0.019,926280.0,1085682.0,10.2,9.99,24.0,91786.0,34.0,104929.0,0.274,0.287,0.287
6510,2016-03-04,精測,300.0,236.0,0.62,1.105,0.769,0.368,0.443,0.232,0.478,40.093,0.457,0.37,-0.039,14.77,155920.0,0.568,-0.072,0.385,0.035,0.25,5391354043.2,-8758437.6,-551976710.2,-5758.4,-850.2,4465200.0,4.129,4.366,5.718,8.104,3.573,1995680.0,0.241,376760.0,483.31,490.617,-0.008,18999076.0,56827055.0,489.99,479.0,44.0,39310.0,114.0,115707.0,1.05,0.467,0.503
2739,2016-04-28,寒舍,38.8,965.0,-0.002,0.064,0.19,0.218,0.023,0.099,0.088,13.803,0.044,0.547,-0.049,3.0,317850.0,-0.041,-0.135,0.741,0.108,0.5,4244202251.818182,-182445499.45454547,-367733378.3636364,-17149.545,3744.818,-257298545.455,2.277,1.963,0.93,-0.892,-1.207,1477040.0,-1.768,347330.0,58.71,57.934,0.085,5900312.0,7244824.0,59.99,58.0,61.0,100491.0,64.0,121127.0,0.34,0.34,0.383
6531,2016-05-11,愛普,71.0,610.0,0.07,-0.242,-0.268,0.266,-0.404,0.227,-0.332,28.077,-0.361,0.147,-0.385,7.58,180499.0,0.568,-0.075,0.288,0.24,0.25,-5433881234.090909,-131395874.0909091,243123575.0909091,-17503.727,2873.636,-393020090.909,-1.461,-1.647,-3.466,-4.713,-4.956,1533020.0,-4.49,290700.0,104.47,107.236,-0.018,19038905.0,19473430.0,106.0,100.51,100.0,182250.0,103.0,178922.0,0.341,0.296,0.326
6523,2016-05-26,達爾膚,150.4,317.0,0.604,0.781,0.789,0.066,0.692,0.057,0.629,36.257,0.07,0.126,0.273,2.38,75228.0,0.528,-0.204,0.168,0.309,0.25,-4176549878.3333335,222251615.66666663,601008904.9166666,-12665.583,2259.333,-410514333.333,-1.396,-0.442,0.625,5.013,3.554,1535790.0,6.16,282600.0,428.05,399.27,0.22,21890941.0,18571072.0,441.04,415.0,72.0,51141.0,50.0,46032.0,0.762,0.71,0.799
6446,2016-06-29,藥華藥,132.5,1800.0,-0.541,-0.111,-0.114,-0.13,0.404,-0.105,0.271,6.574,0.814,0.189,-0.439,-0.88,386.0,-0.905,-0.506,0.391,0.71,0.5,476803584.7272728,-169409461.0909091,-595591291.0909091,875.182,-4731.455,10503818.182,-1.871,-2.003,-2.897,-2.879,-1.172,1620120.0,-0.409,309720.0,203.51,218.469,-0.072,274122403.0,451946935.0,206.2,198.31,1102.0,1346960.0,1741.0,2078278.0,0.506,0.245,0.312
4552,2016-06-30,力達-KY,80.0,1000.0,0.121,0.244,0.242,0.074,0.156,0.055,0.146,38.542,0.074,0.256,-0.004,2.87,716269.0,0.06,,,,,577167868.25,-151170734.08333334,-510976834.9166667,2627.75,-4926.167,52943416.667,-3.34,-3.777,-5.239,-6.773,1.088,1652280.0,0.544,312790.0,,,,,,,,,,,,0.525,0.264,0.446
6499,2016-07-06,益安,120.0,510.0,,-0.992,-0.762,-0.06,-1.143,-0.058,-1.148,18.641,-0.055,0.021,-0.192,-1.11,0.0,10000.0,,0.0,0.0,0.0,3905944168.2,204304320.6,-374745303.8,-6687.1,-4695.4,-22932200.0,1.442,1.334,0.882,0.374,-0.002,1733090.0,-0.077,329890.0,203.53,195.783,0.053,115855538.0,63393844.0,209.99,199.5,408.0,569234.0,267.0,318460.0,0.375,0.309,0.367
8415,2016-08-18,大國鋼,12.0,1000.0,-0.059,0.019,0.0,0.014,0.077,0.007,0.0,11.705,-0.042,0.477,0.013,0.16,880168.0,-0.068,0.121,0.046,0.049,0.75,4387663991.615385,-227838297.2307692,-1002418099.9230767,2488.462,5229.154,155109230.769,1.106,0.761,1.935,3.086,1.03,1883780.0,-1.692,417750.0,18.98,18.993,0.017,2585584.0,1371036.0,19.08,18.6,31.0,136200.0,19.0,72320.0,0.508,0.417,0.417
6542,2016-08-19,隆中,96.36,352.0,0.928,1.371,1.371,0.062,1.321,0.03,1.333,20.912,0.164,0.507,-0.047,1.12,219516.0,0.375,-0.071,0.915,0.062,0.25,4770939592.307693,-219667045.4615385,-1193921958.7692308,2962.846,6028.692,148567153.846,0.801,0.337,0.828,2.16,0.334,1897730.0,-1.487,405230.0,131.88,141.68,-0.1,4220280.0,2122818.0,133.5,130.0,22.0,32000.0,11.0,15153.0,0.036,0.152,0.193
